Storm name,Dates active,Max wind,Pressure,Areas affected,Damage,Deaths,Refs
Blake,January 4–11,75 (45),986,Western Australia,Minor,None,
Claudia,January 4–17,150 (90),963,"Eastern Indonesia, Top End, Kimberley",None,None,
Tino,January 11–20,120 (75),970,"Solomon Islands, Vanuatu, Fiji, Wallis and Futuna, Samoan Islands, Tuvalu, Tonga",$5.83 million,2,[17]
05,January 19–23,55 (35),999,None,None,None,
Diane,January 22–26,75 (45),990,"Madagascar, Mauritius, Réunion",Unknown,31,[18]
Kurumí,January 23–25,65 (40),998,"São Paulo, Minas Gerais, Espírito Santo, Rio de Janeiro",Unknown,70,[19]
Esami,January 23–26,85 (50),990,Rodrigues,None,None,
04U,January 23–30,Unspecified,998,"Northern Territory, Queensland",None,None,
05F,January 24–26,Unspecified,1003,Samoan Islands,None,None,
TL,January 31 – February 4,Unspecified,1007,"Christmas Island, Cocos Islands",None,None,
Damien,February 2–11,155 (100),955,"Northern Australia, Kimberley",$4.3 million,None,[20]
Uesi,February 3–15,120 (75),970,"Solomon Islands, Vanuatu, New Caledonia, Lord Howe Island, New Zealand, New South Wales, South East Queensland",Minor,1,[21]
Francisco,February 3–15,80 (50),994,Madagascar,Minor,1,[22]
TL,February 6–8,Unspecified,1007,Cocos Islands,None,None,
TL,February 13,Unspecified,1009,None,None,None,
Gabekile,February 13–17,165 (105),950,None,None,None,
07F,February 14–21,Unspecified,998,"Tuvalu, American Samoa, Tokelau",None,None,
TL,February 15–17,Unspecified,1002,Solomon Islands,None,None,
08F,February 17–18,65 (40),994,"American Samoa, Niue",None,None,
Vicky,February 19–22,85 (50),988,"Samoan Islands, Niue",None,None,
Wasi,February 21–23,85 (50),990,"Wallis and Futuna, Samoan Islands",None,None,
Esther,February 21 – March 5,75 (45),988,"Far North Queensland, Northern Territory, Kimberley",None,None,
Ferdinand,February 22 – March 4,155 (100),960,Lesser Sunda Islands,None,None,
09U,March 9–14,75 (45),999,"Java, Bali, West Nusa Tenggara Western Australia",None,None,
Gretel,March 10–17,100 (65),980,"Top End, New Guinea, Queensland, New Caledonia, Norfolk Island, New Zealand",None,None,
Herold,March 12–20,175 (110),955,"Madagascar, Tromelin Island",Unknown,5,[23]
11U,March 29 – April 2,Unspecified,1005,"New Guinea, Cape York Peninsula",None,None,
Irondro,April 1–7,175 (110),950,None,None,None,
Harold,April 1–11,230 (145),920,"Papua New Guinea, Solomon Islands, Vanuatu, Fiji, Tonga",>$123.5 million,≥30,[24][25]
TL,April 3,Unspecified,1008,None,None,None,
Jeruto,April 10–16,65 (40),999,None,None,None,
One-E,April 25–26,55 (35),1006,None,None,None,
TD,May 3–10,55 (35),1004,"Mentawai Islands, Sumatra",None,None,
Vongfong (Ambo),May 10–18,155 (100),960,"Palau, Philippines, Taiwan, Ryukyu Islands",$50 million,5,[26]
Amphan,May 16–21,240 (150),920,"Sri Lanka, Bangladesh, India, Bhutan",>$13.6 billion,128,[27]
Arthur,May 16–19,95 (60),990,"Cuba, Florida, The Bahamas, North Carolina, Bermuda",$112.000,None,[28]
Mangga,May 19–23,65 (40),995,"Cocos Islands, Mentawai Islands, Sumatra, Western Australia",None,None,
Bertha,May 27–28,85 (50),1004,"Florida, Bahamas, East Coast of the United States","$130,000",1,[29]
ARB 01,May 29–31,45 (30),1000,"Oman, Yemen",Minimal,3,[30]
Amanda & Cristobal,May 30 – June 10,95 (60),992,"Guatemala, El Salvador, Honduras, Belize, Costa Rica, Mexico, Gulf Coast of the United States, Midwestern United States, Eastern Canada",$865 million,55,[31]
